日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-10-31,1422.0,1430.01,1435.98,1420.11,3569377.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,1431.0,1435.0,1448.0,1420.1,3454766.0,0.0,0.0,0.0,0.0,0.0
2025-11-04,1435.1,1429.0,1435.78,1423.78,2656572.0,0.0,0.0,0.0,0.0,0.0
2025-11-05,1425.89,1420.08,1430.99,1420.01,3447527.0,0.0,0.0,0.0,0.0,0.0
2025-11-06,1430.0,1435.13,1441.45,1429.99,3834782.0,0.0,0.0,0.0,0.0,0.0
2025-11-07,1435.11,1433.33,1439.78,1431.11,1886139.0,0.0,0.0,0.0,0.0,0.0
2025-11-10,1435.0,1462.3,1463.69,1434.98,4945154.0,0.0,0.0,0.0,0.0,0.0
2025-11-11,1462.0,1458.99,1462.18,1447.0,2669156.0,0.0,0.0,0.0,0.0,0.0
2025-11-12,1459.98,1465.15,1478.36,1459.21,3299210.0,0.0,0.0,0.0,0.0,0.0
2025-11-13,1462.12,1470.38,1473.58,1458.0,3117923.0,0.0,0.0,0.0,0.0,0.0
2025-11-14,1470.0,1456.6,1478.95,1456.3,2747306.0,0.0,0.0,0.0,0.0,0.0
2025-11-17,1454.0,1471.0,1473.0,1445.79,3446221.0,0.0,0.0,0.0,0.0,0.0
2025-11-18,1470.7,1476.0,1486.07,1469.0,3420478.0,0.0,0.0,0.0,0.0,0.0
2025-11-19,1474.0,1471.01,1479.53,1469.96,2204537.0,0.0,0.0,0.0,0.0,0.0
2025-11-20,1472.0,1467.11,1479.9,1465.03,2400232.0,0.0,0.0,0.0,0.0,0.0
2025-11-21,1470.5,1466.6,1480.0,1456.0,4260720.0,0.0,0.0,0.0,0.0,0.0
2025-11-24,1467.0,1452.0,1471.0,1451.13,3360744.0,0.0,0.0,0.0,0.0,0.0
2025-11-25,1458.0,1444.65,1458.0,1444.5,2844069.0,0.0,0.0,0.0,0.0,0.0
2025-11-26,1448.88,1449.15,1453.49,1443.58,2030616.0,0.0,0.0,0.0,0.0,0.0
2025-11-27,1449.5,1447.3,1450.0,1439.04,2228689.0,0.0,0.0,0.0,0.0,0.0
2025-11-28,1446.5,1450.5,1455.5,1443.0,2321121.0,0.0,0.0,0.0,0.0,0.0
2025-12-01,1451.0,1448.0,1462.27,1442.0,2733342.0,0.0,0.0,0.0,0.0,0.0
2025-12-02,1448.0,1436.03,1451.92,1435.02,2504726.0,0.0,0.0,0.0,0.0,0.0
2025-12-03,1435.81,1429.1,1435.97,1428.0,2357279.0,0.0,0.0,0.0,0.0,0.0
2025-12-04,1429.1,1423.98,1432.5,1418.38,2907539.0,0.0,0.0,0.0,0.0,0.0
2025-12-05,1423.98,1430.01,1433.09,1419.5,2540166.0,0.0,0.0,0.0,0.0,0.0
2025-12-08,1429.2,1418.22,1436.67,1418.0,3360280.0,0.0,0.0,0.0,0.0,0.0
2025-12-09,1418.23,1401.01,1421.0,1400.05,4263443.0,0.0,0.0,0.0,0.0,0.0
2025-12-10,1400.0,1402.8,1402.8,1383.18,3313347.0,0.0,0.0,0.0,0.0,0.0
2025-12-11,1406.66,1411.99,1411.99,1401.55,2238501.0,0.0,0.0,0.0,0.0,0.0
2025-12-12,1418.0,1420.65,1425.0,1413.57,3715919.0,0.0,0.0,0.0,0.0,0.0
2025-12-15,1439.59,1426.0,1439.99,1425.57,3335879.0,0.0,0.0,0.0,0.0,0.0
2025-12-16,1426.2,1422.0,1428.78,1415.0,2396367.0,0.0,0.0,0.0,0.0,0.0
2025-12-17,1425.0,1433.1,1439.94,1417.68,3138249.0,0.0,0.0,0.0,0.0,0.0
2025-12-18,1433.5,1431.0,1438.88,1426.11,1782995.0,0.0,0.0,0.0,0.0,0.0
2025-12-19,1410.0,1410.0,1412.45,1401.01,2650868.0,0.0,0.0,0.0,0.0,0.0
2025-12-22,1410.0,1408.26,1414.14,1406.58,2042565.0,0.0,0.0,0.0,0.0,0.0
2025-12-23,1408.26,1407.86,1412.93,1397.19,2450681.0,0.0,0.0,0.0,0.0,0.0
2025-12-24,1404.99,1400.9,1406.36,1400.0,2518669.0,0.0,0.0,0.0,0.0,0.0
2025-12-25,1405.0,1414.17,1419.48,1401.38,2338621.0,0.0,0.0,0.0,0.0,0.0
2025-12-26,1414.17,1414.13,1419.14,1410.0,1780299.0,0.0,0.0,0.0,0.0,0.0
2025-12-29,1414.13,1402.0,1414.13,1401.0,2630810.0,0.0,0.0,0.0,0.0,0.0
2025-12-30,1401.0,1389.72,1401.9,1386.0,3379194.0,0.0,0.0,0.0,0.0,0.0
2025-12-31,1390.0,1377.18,1394.0,1377.17,3476563.0,0.0,0.0,0.0,0.0,0.0
2026-01-05,1385.0,1426.0,1431.88,1385.0,7094942.0,0.0,0.0,0.0,0.0,0.0
2026-01-06,1432.55,1428.01,1436.97,1416.53,3958618.0,0.0,0.0,0.0,0.0,0.0
2026-01-07,1432.88,1423.36,1435.0,1420.2,2968380.0,0.0,0.0,0.0,0.0,0.0
2026-01-08,1423.33,1412.3,1423.36,1408.14,2913454.0,0.0,0.0,0.0,0.0,0.0
2026-01-09,1417.0,1419.1,1428.6,1416.01,2984774.0,0.0,0.0,0.0,0.0,0.0
2026-01-12,1419.1,1423.23,1431.0,1417.1,3608266.0,0.0,0.0,0.0,0.0,0.0
2026-01-13,1426.79,1411.0,1429.52,1408.99,3916866.0,0.0,0.0,0.0,0.0,0.0
2026-01-14,1411.0,1398.01,1422.25,1396.18,5175797.0,0.0,0.0,0.0,0.0,0.0
2026-01-15,1396.02,1388.89,1402.83,1388.58,4090714.0,0.0,0.0,0.0,0.0,0.0
2026-01-16,1395.0,1382.0,1397.5,1380.0,5512068.0,0.0,0.0,0.0,0.0,0.0
2026-01-19,1381.9,1376.0,1387.49,1375.0,4228640.0,0.0,0.0,0.0,0.0,0.0
2026-01-20,1379.5,1373.55,1381.58,1372.05,3648443.0,0.0,0.0,0.0,0.0,0.0
2026-01-21,1373.56,1351.06,1374.4,1350.0,6451625.0,0.0,0.0,0.0,0.0,0.0
2026-01-22,1352.01,1340.06,1361.76,1337.48,5901089.0,0.0,0.0,0.0,0.0,0.0
2026-01-23,1340.1,1337.0,1348.0,1332.47,6194890.0,0.0,0.0,0.0,0.0,0.0
2026-01-26,1340.51,1342.0,1355.0,1325.12,8016606.0,0.0,0.0,0.0,0.0,0.0
2026-01-27,1344.98,1343.01,1353.7,1338.0,4841596.0,0.0,0.0,0.0,0.0,0.0
2026-01-28,1343.04,1323.69,1346.71,1322.01,7621801.0,0.0,0.0,0.0,0.0,0.0
2026-01-29,1335.0,1437.72,1445.0,1329.06,18953440.0,0.0,0.0,0.0,0.0,0.0
2026-01-30,1435.0,1401.0,1435.0,1401.0,9447974.0,0.0,0.0,0.0,0.0,0.0
2026-02-02,1425.0,1427.0,1458.58,1411.62,8572427.0,0.0,0.0,0.0,0.0,0.0
2026-02-03,1445.0,1474.92,1476.81,1443.03,8632066.0,0.0,0.0,0.0,0.0,0.0
2026-02-04,1485.0,1525.0,1533.27,1474.0,10912293.0,0.0,0.0,0.0,0.0,0.0
2026-02-05,1520.0,1555.0,1565.0,1515.0,9162274.0,0.0,0.0,0.0,0.0,0.0
2026-02-06,1555.0,1515.01,1568.0,1505.88,7896538.0,0.0,0.0,0.0,0.0,0.0
2026-02-09,1518.0,1524.96,1542.88,1513.49,5116846.0,0.0,0.0,0.0,0.0,0.0
2026-02-10,1524.97,1504.8,1524.97,1496.5,3957596.0,0.0,0.0,0.0,0.0,0.0
2026-02-11,1504.8,1504.33,1514.0,1496.0,3092846.0,0.0,0.0,0.0,0.0,0.0
2026-02-12,1500.2,1486.6,1502.82,1473.36,4624582.0,0.0,0.0,0.0,0.0,0.0
2026-02-13,1486.6,1485.3,1507.8,1470.58,4167901.0,0.0,0.0,0.0,0.0,0.0
2026-02-24,1521.0,1466.8,1524.4,1463.6,4191253.0,0.0,0.0,0.0,0.0,0.0
2026-02-25,1470.0,1491.66,1509.66,1467.88,3688067.0,0.0,0.0,0.0,0.0,0.0
2026-02-26,1486.6,1466.21,1489.49,1464.67,3295801.0,0.0,0.0,0.0,0.0,0.0
2026-02-27,1466.99,1455.02,1476.21,1455.02,3216016.0,0.0,0.0,0.0,0.0,0.0
2026-03-02,1450.0,1440.11,1457.0,1436.66,3545386.0,0.0,0.0,0.0,0.0,0.0
2026-03-03,1440.1,1426.19,1452.87,1422.13,4589086.0,0.0,0.0,0.0,0.0,0.0
2026-03-04,1415.0,1401.18,1423.0,1392.09,4801443.0,0.0,0.0,0.0,0.0,0.0
2026-03-05,1406.0,1399.04,1412.96,1395.0,3050524.0,0.0,0.0,0.0,0.0,0.0
2026-03-06,1395.0,1402.0,1407.5,1388.0,2915415.0,0.0,0.0,0.0,0.0,0.0
2026-03-09,1390.0,1397.0,1404.9,1383.2,3744162.0,0.0,0.0,0.0,0.0,0.0
2026-03-10,1404.9,1401.88,1409.49,1398.0,2462592.0,0.0,0.0,0.0,0.0,0.0
2026-03-11,1402.99,1400.0,1405.99,1398.02,2445673.0,0.0,0.0,0.0,0.0,0.0
2026-03-12,1395.0,1392.0,1403.95,1391.01,2758646.0,0.0,0.0,0.0,0.0,0.0
2026-03-13,1392.48,1413.64,1417.62,1392.0,3360783.0,0.0,0.0,0.0,0.0,0.0
2026-03-16,1420.0,1460.18,1466.0,1420.0,6008635.0,0.0,0.0,0.0,0.0,0.0
2026-03-17,1468.0,1485.0,1498.07,1461.19,4945361.0,0.0,0.0,0.0,0.0,0.0
2026-03-18,1489.0,1468.8,1496.5,1463.15,3555100.0,0.0,0.0,0.0,0.0,0.0
2026-03-19,1472.96,1452.87,1473.0,1446.0,3031859.0,0.0,0.0,0.0,0.0,0.0
2026-03-20,1452.96,1445.0,1462.5,1439.0,2613234.0,0.0,0.0,0.0,0.0,0.0
2026-03-23,1433.33,1408.07,1435.0,1400.03,4725589.0,0.0,0.0,0.0,0.0,0.0
2026-03-24,1416.0,1407.33,1417.59,1400.18,2856179.0,0.0,0.0,0.0,0.0,0.0
2026-03-25,1410.11,1410.27,1417.87,1401.01,2609346.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,1409.0,1401.18,1413.9,1400.3,2309289.0,0.0,0.0,0.0,0.0,0.0
2026-03-27,1400.0,1416.02,1426.0,1396.66,3008711.0,0.0,0.0,0.0,0.0,0.0
2026-03-30,1407.0,1420.0,1431.0,1402.52,2868459.0,0.0,0.0,0.0,0.0,0.0
2026-03-31,1468.0,1450.0,1479.93,1448.41,6169066.0,0.0,0.0,0.0,0.0,0.0
2026-04-01,1464.49,1459.44,1469.99,1452.88,2912514.0,0.0,0.0,0.0,0.0,0.0
2026-04-02,1459.44,1459.88,1464.88,1452.1,2106437.0,0.0,0.0,0.0,0.0,0.0
2026-04-03,1459.54,1460.0,1469.96,1455.0,2019373.0,0.0,0.0,0.0,0.0,0.0
2026-04-07,1460.05,1440.02,1470.0,1435.05,2415218.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,1460.0,1465.02,1469.08,1452.13,3383610.0,0.0,0.0,0.0,0.0,0.0
2026-04-09,1465.02,1460.49,1465.02,1447.5,2070476.0,0.0,0.0,0.0,0.0,0.0
2026-04-10,1459.14,1453.96,1459.71,1441.1,2886556.0,0.0,0.0,0.0,0.0,0.0
2026-04-13,1444.0,1443.31,1446.5,1433.0,2521364.0,0.0,0.0,0.0,0.0,0.0
2026-04-14,1442.6,1446.9,1448.6,1435.0,2423261.0,0.0,0.0,0.0,0.0,0.0
2026-04-15,1444.98,1467.5,1470.79,1442.0,3455348.0,0.0,0.0,0.0,0.0,0.0
2026-04-16,1467.45,1462.84,1477.41,1460.0,2451284.0,0.0,0.0,0.0,0.0,0.0
2026-04-17,1400.0,1407.24,1421.0,1399.87,9682499.0,0.0,0.0,0.0,0.0,0.0
2026-04-20,1403.0,1410.89,1413.94,1400.0,3645139.0,0.0,0.0,0.0,0.0,0.0
2026-04-21,1411.0,1412.01,1419.9,1410.0,2175427.0,0.0,0.0,0.0,0.0,0.0
2026-04-22,1415.0,1409.5,1419.0,1404.98,2691593.0,0.0,0.0,0.0,0.0,0.0
2026-04-23,1408.0,1419.0,1419.7,1405.1,3770109.0,0.0,0.0,0.0,0.0,0.0
2026-04-24,1413.1,1458.49,1458.88,1413.1,5545531.0,0.0,0.0,0.0,0.0,0.0
2026-04-27,1420.0,1403.2,1420.0,1402.2,7279774.0,0.0,0.0,0.0,0.0,0.0
2026-04-28,1402.0,1405.0,1409.39,1400.11,3400442.0,0.0,0.0,0.0,0.0,0.0
2026-04-29,1405.0,1401.17,1409.75,1400.28,3481313.0,0.0,0.0,0.0,0.0,0.0
2026-04-30,1400.0,1384.79,1401.17,1380.0,5275267.0,0.0,0.0,0.0,0.0,0.0
2026-05-06,1365.1,1375.0,1379.0,1360.05,4780604.0,0.0,0.0,0.0,0.0,0.0
2026-05-07,1375.0,1371.05,1388.0,1370.01,4046147.0,0.0,0.0,0.0,0.0,0.0
2026-05-08,1371.66,1372.99,1382.77,1370.0,3336853.0,0.0,0.0,0.0,0.0,0.0
2026-05-11,1372.89,1361.33,1372.89,1361.0,5713510.0,0.0,0.0,0.0,0.0,0.0
2026-05-12,1362.0,1354.55,1363.58,1350.5,5083743.0,0.0,0.0,0.0,0.0,0.0
2026-05-13,1354.5,1344.09,1358.6,1338.0,5696787.0,0.0,0.0,0.0,0.0,0.0
2026-05-14,1338.0,1342.17,1369.06,1335.18,5524434.0,0.0,0.0,0.0,0.0,0.0
2026-05-15,1335.15,1332.95,1339.28,1327.11,5818365.0,0.0,0.0,0.0,0.0,0.0
2026-05-18,1336.0,1323.0,1342.68,1319.61,4966097.0,0.0,0.0,0.0,0.0,0.0
2026-05-19,1321.9,1324.3,1329.99,1318.0,4325464.0,0.0,0.0,0.0,0.0,0.0
2026-05-20,1321.0,1315.0,1332.99,1314.0,4748733.0,0.0,0.0,0.0,0.0,0.0
2026-05-21,1312.98,1311.0,1323.52,1311.0,3886838.0,0.0,0.0,0.0,0.0,0.0
2026-05-22,1310.95,1290.2,1311.91,1290.12,4915714.0,0.0,0.0,0.0,0.0,0.0
2026-05-25,1287.0,1285.88,1304.79,1277.0,4635276.0,0.0,0.0,0.0,0.0,0.0
2026-05-26,1285.35,1273.38,1289.89,1270.01,4593162.0,0.0,0.0,0.0,0.0,0.0
2026-05-27,1268.02,1303.0,1319.0,1250.1,8272791.0,0.0,0.0,0.0,0.0,0.0
2026-05-28,1290.0,1275.98,1304.0,1271.0,4588998.0,0.0,0.0,0.0,0.0,0.0
2026-05-29,1270.6,1326.0,1329.0,1270.0,7647805.0,0.0,0.0,0.0,0.0,0.0
2026-06-01,1327.0,1309.6,1327.0,1301.31,4384460.0,0.0,0.0,0.0,0.0,0.0
2026-06-02,1306.0,1307.22,1326.36,1301.0,3636185.0,0.0,0.0,0.0,0.0,0.0
2026-06-03,1304.0,1281.91,1304.0,1276.0,5247652.0,0.0,0.0,0.0,0.0,0.0
2026-06-04,1278.99,1268.0,1288.99,1266.69,3350617.0,0.0,0.0,0.0,0.0,0.0
2026-06-05,1278.0,1272.86,1283.0,1267.74,3130397.0,0.0,0.0,0.0,0.0,0.0
2026-06-08,1272.0,1262.98,1278.0,1260.0,3082836.0,0.0,0.0,0.0,0.0,0.0
2026-06-09,1262.99,1256.0,1263.0,1252.55,2786012.0,0.0,0.0,0.0,0.0,0.0
2026-06-10,1252.08,1275.88,1282.0,1250.21,3924414.0,0.0,0.0,0.0,0.0,0.0
2026-06-11,1272.12,1279.0,1282.88,1266.91,2535198.0,0.0,0.0,0.0,0.0,0.0
2026-06-12,1271.18,1291.91,1295.0,1265.01,5049478.0,0.0,0.0,0.0,0.0,0.0
2026-06-15,1292.7,1271.1,1292.7,1270.1,4158556.0,0.0,0.0,0.0,0.0,0.0
2026-06-16,1267.01,1255.67,1267.88,1255.0,3496974.0,0.0,0.0,0.0,0.0,0.0
2026-06-17,1258.0,1240.0,1259.77,1238.56,4480330.0,0.0,0.0,0.0,0.0,0.0
2026-06-18,1235.0,1215.0,1238.87,1211.22,5747173.0,0.0,0.0,0.0,0.0,0.0
2026-06-22,1214.31,1241.41,1252.8,1205.0,5825131.0,0.0,0.0,0.0,0.0,0.0
2026-06-23,1239.0,1222.45,1264.0,1217.0,5800405.0,0.0,0.0,0.0,0.0,0.0
2026-06-24,1222.65,1207.68,1241.87,1207.51,4533528.0,0.0,0.0,0.0,0.0,0.0
2026-06-25,1207.0,1212.1,1227.0,1200.0,4844649.0,0.0,0.0,0.0,0.0,0.0
2026-06-26,1199.0,1168.63,1199.0,1168.1,5006647.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,1169.0,1194.96,1215.0,1151.01,6687812.0,0.0,0.0,0.0,0.0,0.0
2026-06-30,1187.0,1185.49,1195.67,1176.0,3960779.0,0.0,0.0,0.0,0.0,0.0
